Participant ID,I need the easiest way around problems; I can’t stand making a hard time of it,I can’t stand having to wait for things I would like now,I must be free of disturbing feelings as quickly as possible; I can’t bear if they continue,I can’t stand being prevented from achieving,I can’t stand doing tasks that seem too difficult,I can’t stand it if other people act against my wishes,I can’t bear to feel that I am losing my mind,I can’t bear the frustration of not achieving my goals,I can’t stand doing tasks when I’m not in the mood,I can’t bear it if other people stand in the way of what I want,I can’t bear to have certain thoughts,I can’t tolerate lowering my standards even when it would be useful to do so,I can’t stand having to push myself at tasks,I can’t tolerate being taken for granted,I can’t stand situations where I might feel upset,I can’t bear to move on from work I’m not fully satisfied with,I can’t stand the hassle of having to do things right now,I can’t stand having to give in to other people’s demands,I can’t bear disturbing feelings,I can’t stand doing a job if I’m unable to do it well,I can’t stand doing things that involve a lot of hassle,I can’t stand having to change when others are at fault,"I can’t get on with my life, or be happy, if things don’t change",I can’t stand feeling that I’m not on top of my work,I can’t stand having to persist at unpleasant tasks,I can’t tolerate criticism especially when I know I’m right,I can’t stand to lose control of my feelings,I can’t tolerate any lapse in my self-discipline,I can’t tolerate being overlooked,I can’t bear to have been treated unjustly
H2IIY,Absent,Absent,Mild,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Mild,Absent,Moderate,Mild,Absent,Absent,Absent,Moderate,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Moderate,Mild
7MEOE,Absent,Absent,Mild,Mild,Absent,Moderate,Moderate,Absent,Mild,Absent,Mild,Absent,Absent,Mild,Absent,Mild,Absent,Absent,Mild,Absent,Absent,Moderate,Moderate,Absent,Absent,Mild,Mild,Absent,Mild,Moderate
POPC4,Absent,Absent,Absent,Absent,Absent,Mild,Absent,Absent,Absent,Absent,Mild,Moderate,Absent,Absent,Absent,Absent,Absent,Mild,Absent,Absent,Absent,Mild,Absent,Absent,Absent,Mild,Absent,Absent,Absent,Absent
1BX2A,Strong,Moderate,Very Strong,Very Strong,Moderate,Mild,Moderate,Very Strong,Mild,Absent,Mild,Strong,Mild,Strong,Strong,Mild,Moderate,Mild,Strong,Absent,Mild,Strong,Mild,Moderate,Moderate,Very Strong,Moderate,Strong,Strong,Very Strong
858OK,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Very Strong,Absent,Strong,Very Strong,Strong,Mild,Very Strong,Mild,Moderate,Very Strong,Strong,Moderate,Mild,Strong,Strong,Moderate,Moderate,Moderate,Strong,Strong,Strong,Very Strong,Very Strong
Z3TFO,Mild,Mild,Moderate,Moderate,Mild,Moderate,Mild,Moderate,Moderate,Mild,Moderate,Mild,Mild,Very Strong,Mild,Moderate,Mild,Moderate,Moderate,Mild,Mild,Moderate,Mild,Mild,Mild,Absent,Strong,Moderate,Strong,Strong
H75VY,Mild,Moderate,Moderate,Mild,Mild,Mild,Moderate,Strong,Strong,Mild,Strong,Mild,Moderate,Very Strong,Mild,Strong,Moderate,Mild,Strong,Strong,Moderate,Very Strong,Moderate,Strong,Strong,Very Strong,Mild,Mild,Very Strong,Very Strong
CHOBY,Strong,Moderate,Mild,Moderate,Strong,Strong,Mild,Mild,Strong,Strong,Moderate,Absent,Strong,Strong,Mild,Moderate,Strong,Strong,Mild,Very Strong,Strong,Very Strong,Mild,Moderate,Strong,Moderate,Strong,Very Strong,Strong,Very Strong
F483S,Moderate,Moderate,Strong,Strong,Mild,Strong,Very Strong,Strong,Moderate,Very Strong,Very Strong,Moderate,Mild,Strong,Mild,Strong,Moderate,Strong,Very Strong,Strong,Mild,Strong,Mild,Strong,Moderate,Mild,Strong,Strong,Strong,Very Strong
DZDMH,Moderate,Moderate,Mild,Moderate,Strong,Strong,Mild,Moderate,Mild,Moderate,Absent,Very Strong,Moderate,Strong,Strong,Strong,Mild,Mild,Moderate,Moderate,Mild,Strong,Strong,Mild,Strong,Very Strong,Absent,Strong,Strong,Strong
IX4SL,Absent,Mild,Mild,Moderate,Absent,Moderate,Moderate,Mild,Moderate,Moderate,Mild,Absent,Absent,Absent,Mild,Absent,Absent,Mild,Absent,Absent,Absent,Moderate,Mild,Moderate,Moderate,Strong,Mild,Mild,Mild,Moderate
CUZPT,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Absent,Moderate,Moderate,Moderate
ZU2PA,Mild,Absent,Mild,Absent,Absent,Absent,Absent,Mild,Absent,Absent,Absent,Absent,Absent,Mild,Absent,Absent,Absent,Absent,Absent,Absent,Mild,Absent,Absent,Absent,Mild,Absent,Absent,Absent,Mild,Absent
OSPOJ,Mild,Strong,Mild,Mild,Mild,Strong,Strong,Moderate,Mild,Moderate,Absent,Strong,Mild,Moderate,Mild,Mild,Mild,Absent,Mild,Moderate,Mild,Strong,Moderate,Strong,Mild,Mild,Mild,Moderate,Moderate,Strong
I7NPK,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild,Mild
SN6KG,Absent,Absent,Moderate,Mild,Absent,Mild,Strong,Moderate,Mild,Mild,Mild,Moderate,Strong,Very Strong,Very Strong,Moderate,Mild,Mild,Strong,Moderate,Strong,Moderate,Mild,Very Strong,Mild,Mild,Very Strong,Very Strong,Very Strong,Very Strong
W44U7,Strong,Moderate,Absent,Very Strong,Absent,Absent,Mild,Moderate,Absent,Absent,Mild,Moderate,Mild,Moderate,Absent,Strong,Very Strong,Mild,Absent,Absent,Absent,Moderate,Absent,Mild,Absent,Mild,Mild,Absent,Absent,Mild
C2466,Strong,Strong,Very Strong,Strong,Mild,Strong,Strong,Strong,Strong,Moderate,Strong,Moderate,Moderate,Very Strong,Strong,Mild,Moderate,Very Strong,Moderate,Very Strong,Strong,Strong,Moderate,Strong,Very Strong,Very Strong,Strong,Strong,Very Strong,Very Strong
8F4IJ,Mild,Absent,Mild,Strong,Mild,Moderate,Moderate,Strong,Mild,Moderate,Moderate,Mild,Absent,Mild,Absent,Moderate,Mild,Strong,Moderate,Mild,Mild,Strong,Moderate,Strong,Mild,Mild,Moderate,Mild,Mild,Moderate
FFB9O,Absent,Mild,Moderate,Strong,Mild,Moderate,Mild,Moderate,Strong,Moderate,Moderate,Moderate,Mild,Very Strong,Mild,Strong,Mild,Mild,Moderate,Moderate,Mild,Strong,Mild,Strong,Moderate,Mild,Strong,Moderate,Moderate,Strong
