Participant ID,I need the easiest way around problems; I can’t stand making a hard time of it,I can’t stand having to wait for things I would like now,I must be free of disturbing feelings as quickly as possible; I can’t bear if they continue,I can’t stand being prevented from achieving,I can’t stand doing tasks that seem too difficult,I can’t stand it if other people act against my wishes,I can’t bear to feel that I am losing my mind,I can’t bear the frustration of not achieving my goals,I can’t stand doing tasks when I’m not in the mood,I can’t bear it if other people stand in the way of what I want,I can’t bear to have certain thoughts,I can’t tolerate lowering my standards even when it would be useful to do so,I can’t stand having to push myself at tasks,I can’t tolerate being taken for granted,I can’t stand situations where I might feel upset,I can’t bear to move on from work I’m not fully satisfied with,I can’t stand the hassle of having to do things right now,I can’t stand having to give in to other people’s demands,I can’t bear disturbing feelings,I can’t stand doing a job if I’m unable to do it well,I can’t stand doing things that involve a lot of hassle,I can’t stand having to change when others are at fault,"I can’t get on with my life, or be happy, if things don’t change",I can’t stand feeling that I’m not on top of my work,I can’t stand having to persist at unpleasant tasks,I can’t tolerate criticism especially when I know I’m right,I can’t stand to lose control of my feelings,I can’t tolerate any lapse in my self-discipline,I can’t tolerate being overlooked,I can’t bear to have been treated unjustly
F483S,Moderate,Mild,Strong,Very Strong,Mild,Moderate,Very Strong,Moderate,Moderate,Strong,Very Strong,Strong,Mild,Moderate,Strong,Very Strong,Moderate,Strong,Very Strong,Strong,Moderate,Strong,Mild,Very Strong,Strong,Mild,Very Strong,Moderate,Very Strong,Very Strong
DZDMH,Strong,Moderate,Mild,Mild,Mild,Moderate,Absent,Moderate,Mild,Mild,Mild,Very Strong,Absent,Mild,Strong,Strong,Moderate,Moderate,Mild,Mild,Moderate,Strong,Very Strong,Mild,Strong,Very Strong,Mild,Strong,Strong,Strong
IX4SL,Mild,Mild,Moderate,Strong,Absent,Mild,Moderate,Mild,Moderate,Moderate,Mild,Absent,Absent,Absent,Mild,Absent,Absent,Mild,Absent,Absent,Absent,Strong,Mild,Mild,Moderate,Strong,Mild,Mild,Mild,Moderate
CUZPT,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ZU2PA,Mild,Absent,Mild,Mild,Absent,Absent,Mild,Absent,Absent,Absent,Absent,Absent,Absent,Mild,Moderate,Mild,Absent,Absent,Moderate,Absent,Absent,Mild,Mild,Absent,Absent,Absent,Absent,Absent,Absent,Moderate
OSPOJ,Mild,Moderate,Mild,Moderate,Mild,Strong,Strong,Moderate,Strong,Moderate,Mild,Mild,Mild,Moderate,Moderate,Moderate,Mild,Absent,Mild,Moderate,Mild,Strong,Strong,Strong,Mild,Absent,Strong,Absent,Mild,Strong
I7NPK,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
SN6KG,Mild,Absent,Very Strong,Very Strong,Moderate,Mild,Mild,Very Strong,Moderate,Moderate,Moderate,Mild,Absent,Strong,Strong,Moderate,Mild,Absent,Moderate,Moderate,Mild,Mild,Mild,Mild,Moderate,Mild,Very Strong,Absent,Mild,Moderate
W44U7,Moderate,Strong,Strong,Very Strong,Absent,Absent,Mild,Absent,Moderate,Strong,Very Strong,Very Strong,Mild,Moderate,Absent,Very Strong,Very Strong,Moderate,Mild,Absent,Absent,Mild,Absent,Moderate,Strong,Absent,Moderate,Very Strong,Absent,Absent
C2466,Very Strong,Strong,Strong,Very Strong,Moderate,Moderate,Moderate,Strong,Strong,Strong,Moderate,Strong,Moderate,Very Strong,Strong,Mild,Moderate,Strong,Strong,Strong,Moderate,Strong,Moderate,Moderate,Moderate,Very Strong,Strong,Moderate,Strong,Very Strong
8F4IJ,Mild,Mild,Absent,Strong,Absent,Mild,Moderate,Moderate,Moderate,Mild,Strong,Absent,Absent,Absent,Absent,Moderate,Mild,Strong,Absent,Mild,Mild,Strong,Moderate,Strong,Mild,Mild,Mild,Mild,Absent,Moderate
FFB9O,Mild,Moderate,Mild,Mild,Absent,Absent,Mild,Moderate,Strong,Mild,Mild,Moderate,Mild,Strong,Strong,Strong,Mild,Mild,Strong,Moderate,Mild,Strong,Mild,Strong,Moderate,Moderate,Moderate,Mild,Strong,Very Strong
